ID;Название;Сечение
139650;Соединитель для кабеля ' X 'Like 70sqmm to 70sqmm;
139651;Кабель ПВ3-1 25 кв.мм. многож., ПВХ оболочка желто-зеленая;
139652;Кабель ПВ3-1 70 кв.мм. многож., ПВХ оболочка желто-зеленая;
139653;Перфоратор Cobra TT 32;
139654;Насадка для молотка Cobra 27B;
139655;Кабель ПВ3-1 150 кв.мм. многож., ПВХ оболочка желто-зеленая;
139656;Гайка соединительная;
139657;Шпилька резьбовая 16mm*2m;
139658;Шина медная 50x5x400мм 8 отвестий М10,5;
139659;Нержавеющая плоская шайба M10;
139660;Анкерный болт HBM 10X110;
139661;Болт нержавеющий M10 x 40mm;
139662;Нержавеющая гроверная шайба M10;
139663;Нержавеющая плоская шайба M10;
139664;Болт нержавеющий M10 x 35mm;
139665;Гайка нержавеющая M10;
139666;Полиэтиленовая труба длина 5м, диам. 110мм;
